Year,Name,Team
2008,RR,Rajasthan Royals
2009,DD,Delhi Daredevils
2010,MI,Mumbai Indians
2011,RCB,Royal Challengers Bangalore
2012,DD,Delhi Daredevils
2013,CSK,Chennai Super Kings
2014,KXIP,Kings XI Punjab
2015,CSK,Chennai Super Kings
2016,GL,Gujarat Lions
